date,product_code,planned_qty,actual_qty,defect_qty,operating_time_hr,available_time_hr
2026-03-01,B200,1000,920,20,7.4,8.0
2026-03-01,A100,1000,980,18,7.7,8.0
2026-03-02,C300,1200,1160,25,7.5,8.0
2026-03-02,D400,900,870,18,7.6,8.0
2026-03-03,B200,1000,930,22,7.3,8.0
2026-03-03,A100,1000,975,20,7.8,8.0
2026-03-04,C300,1200,1180,40,7.6,8.0
2026-03-04,D400,900,860,20,6.6,8.0
2026-03-05,A100,1000,990,15,7.7,8.0
2026-03-05,C300,1200,1170,20,7.4,8.0
2026-03-06,D400,900,840,15,7.5,8.0
2026-03-06,A100,1000,970,22,7.6,8.0
2026-03-07,C300,1200,1165,38,7.5,8.0
2026-03-07,D400,900,875,16,7.7,8.0
2026-03-08,A100,1000,985,17,7.8,8.0
2026-03-08,C300,1200,1150,24,6.7,8.0
2026-03-09,B200,1000,940,21,7.2,8.0
2026-03-09,A100,1000,980,18,7.7,8.0
2026-03-10,D400,900,865,20,7.6,8.0
2026-03-10,C300,1200,1185,21,7.7,8.0
